environment,cohort,ordinal,state_id,position_m,velocity_m_per_s,goal_m,source_type,failure_stratum
E6_FLIGHT_SAFER,C1_FAILURE_DIAGNOSTIC,6,58b7b3f3e38aa197e96b25c9b838a1ca39d6547ad9cf82bba83d46335b5ff975,"[0.20296607206196976,0.2821913499273697,0.00749359130364461]","[0.0,0.0,0.0]","[0.1770339279380301,-0.2621913499273697,-0.04749359130364461]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E6_FLIGHT_SAFER,C1_FAILURE_DIAGNOSTIC,7,5fd23181c460874e718610fb5299a5e0b267fa2e07bae8e2b1dabc9adadea0a2,"[0.30320059104301406,0.2578747187341063,-0.0745779197212711]","[0.0,0.0,0.0]","[0.07679940895698596,-0.2378747187341063,0.0345779197212711]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E6_FLIGHT_SAFER,C1_FAILURE_DIAGNOSTIC,8,67ee79245098e81cbe45f65923302b855285dc8cee864d18b762061bed98610c,"[0.15121920657052978,0.27972634291255416,-0.07938928651285597]","[0.0,0.0,0.0]","[0.22878079342947014,-0.2597263429125542,0.03938928651285596]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E6_FLIGHT_SAFER,C1_FAILURE_DIAGNOSTIC,9,751777678f00f37cb2c1b6b566278d1b3bb2c06b0cc2607db25f9d184af86ae9,"[0.3480655078581515,-0.21197194693371652,-0.014296637401749097]","[0.0,0.0,0.0]","[0.0319344921418486,0.23197194693371656,-0.0257033625982507]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E6_FLIGHT_SAFER,C1_FAILURE_DIAGNOSTIC,10,83cdb26b5370d0fcf994402dfd09b252d71c6e23c5beddcae1c03485ecee87a5,"[-0.06606623916416005,-0.08320048905624472,-0.040521208599540226]","[0.0,0.0,0.0]","[0.4460662391641601,0.10320048905624456,0.0005212085995404195]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E6_FLIGHT_SAFER,C1_FAILURE_DIAGNOSTIC,11,9081b76c9e23ab74a973950eb3e79f20158e07fc1845dcfce795381264850155,"[0.38721752538363163,-0.17804653062887554,-0.07830869409941253]","[0.0,0.0,0.0]","[-0.007217525383631435,0.19804653062887576,0.038308694099412496]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E6_FLIGHT_SAFER,C1_FAILURE_DIAGNOSTIC,12,a2eaf635ad381e9c86d2edf28198c64c39cdde3d12d61b51fc09d905149dbd23,"[0.08472095324862243,-0.24134154514349843,-0.06407550251945215]","[0.0,0.0,0.0]","[0.2952790467513776,0.26134154514349844,0.024075502519452018]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E6_FLIGHT_SAFER,C1_FAILURE_DIAGNOSTIC,13,bc558ea37005c8e50769580ad9c083cb5ff7fae8144a37478f765aa643b1314a,"[0.25424430992631897,0.2748186523681651,0.02140474068892673]","[0.0,0.0,0.0]","[0.12575569007368115,-0.25481865236816514,-0.06140474068892672]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E6_FLIGHT_SAFER,C1_FAILURE_DIAGNOSTIC,14,c71a3527d2d4a6e6e3d1a7ba856df6c1f1bec7d410daf54614818ab58a8e2171,"[0.4094361451772135,0.17156741066738954,-0.016194564820606158]","[0.0,0.0,0.0]","[-0.02943614517721352,-0.1515674106673895,-0.023805435179393833]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E6_FLIGHT_SAFER,C1_FAILURE_DIAGNOSTIC,15,cafe714d080d4a38adaea4daaf6482755aaf6b7597026ec673f489a013143ec1,"[0.13419018295223556,-0.25672366659352724,0.03288720180685491]","[0.0,0.0,0.0]","[0.24580981704776445,0.27672366659352726,-0.0728872018068548]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E6_FLIGHT_SAFER,C1_FAILURE_DIAGNOSTIC,16,e113f9cef791b38ba00a95660451012d8343d95c7f146f48282fbe86ed51c122,"[0.18567652485501482,0.282465699791131,-0.029480083758401082]","[0.0,0.0,0.0]","[0.1943234751449852,-0.262465699791131,-0.010519916241598927]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
